No,UID,Tanggal,Waktu
481,0431514934,0,0:25:45
482,0431276742,0,0:25:47
483,0439892550,0,0:25:49
484,0441693238,0,0:25:52
485,0431977606,0,0:25:57
486,0431169750,0,0:25:58
487,0431973750,0,0:26:0
488,0431976438,0,0:26:1
489,0439498038,0,0:26:3
490,0431835878,0,0:26:4
491,0430879878,0,0:26:7
492,0430799942,0,0:26:8
493,0430933430,0,0:26:10
494,0431006438,0,0:26:11
495,0431476582,0,0:26:13
496,0819043652,0,0:26:15
497,0819394484,0,0:26:16
498,0431447574,0,0:26:18
499,0819778804,0,0:26:23
500,0431563398,0,0:26:25
501,0431892646,0,0:37:36
502,0439637734,0,0:37:38
503,0430794038,0,0:37:40
504,0431236870,0,0:37:41
505,0430996198,0,0:37:43
506,0441961382,0,0:37:45
507,0441505142,0,0:37:46
508,0442665398,0,0:37:48
509,0442198886,0,0:37:50
510,0442775478,0,0:37:51
511,0431933958,0,0:37:53
512,0431409830,0,0:37:56
513,0818896436,0,0:37:57
514,0819471812,0,0:37:59
515,0431847750,0,0:38:1
516,0431959878,0,0:38:3
517,0431676486,0,0:38:5
518,0430945046,0,0:38:7
519,0439340902,0,0:38:8
520,0431119590,0,0:38:10
521,0442386598,0,0:38:12
522,0442677126,0,0:38:13
523,0431069942,0,0:38:15
524,0819362820,0,0:38:18
525,0819669316,0,0:38:19
526,0819888932,0,0:38:21
527,0441904662,0,0:38:23
528,0430771366,0,0:38:24
529,0430811862,0,0:38:26
530,0439440694,0,0:38:28
531,0431955734,0,0:38:30
532,0441767766,0,0:38:31
533,0431946278,0,0:38:33
534,0819899828,0,0:38:35
535,0431450550,0,0:38:36
536,0441711798,0,0:38:38
537,0819807860,0,0:38:39
538,0819866276,0,0:38:41
539,0430730230,0,0:38:43
540,0439760646,0,0:38:44
541,0441753350,0,0:38:47
542,0442353350,0,0:38:50
543,0441798646,0,0:38:52
544,0431031590,0,0:38:55
545,0442804598,0,0:38:56
546,0441856822,0,0:38:58
547,0441965558,0,0:39:0
548,0441602966,0,0:39:1
549,0441532806,0,0:39:3
550,0442292934,0,0:39:5
551,0431823702,0,0:39:6
552,0431187462,0,0:39:9
553,0439715974,0,0:39:11
554,0441456422,0,0:39:12
555,0819468100,0,0:39:16
556,0431255030,0,0:39:18
557,0430887526,0,0:39:19
558,0431213734,0,0:39:21
559,0439518070,0,0:39:23
560,0430926454,0,0:39:24
561,0819592404,0,0:39:26
562,0431359894,0,0:39:28
563,0442672342,0,0:39:29
564,0441655190,0,0:39:31
565,0441835814,0,0:39:33
566,0430706022,0,0:39:35
567,0442549958,0,0:39:37
568,0441937958,0,0:39:39
569,0818756548,0,0:39:40
570,0441562998,0,0:39:42
571,0442124774,0,0:39:44
572,0818840740,0,0:39:45
573,0431866566,0,0:39:47
574,0431557174,0,0:39:49
575,0431059990,0,0:39:50
576,0441888006,0,0:39:52
577,0442294790,0,0:39:54
578,0442784838,0,0:39:57
579,0431937878,0,0:39:59
580,0431902390,0,0:40:1
581,0819350644,0,0:40:4
582,0431901462,0,0:40:6
583,0431265638,0,0:40:8
584,0819336516,0,0:40:9
585,0431080582,0,0:40:16
586,0441923958,0,0:40:17
587,0819754196,0,0:40:19
588,0431749942,0,0:40:21
589,0431877334,0,0:40:23
590,0441946422,0,0:40:25
591,0441655766,0,0:40:26
592,0431952118,0,0:40:29
593,0430884710,0,0:40:30
594,0819897108,0,0:40:32
595,0438856198,0,0:40:34
596,0431327190,0,0:40:36
597,0431290342,0,0:40:37
598,0431931590,0,0:40:39
599,0819634356,0,0:40:41
600,0818648532,0,0:40:43
601,0430857094,0,1:44:3
602,0430837446,0,1:44:9
603,0431359510,0,1:44:15
604,0431278518,0,1:44:17
605,0431734006,0,1:44:19
606,0438891894,0,1:44:21
607,0431646166,0,1:44:22
608,0439921734,0,1:44:24
609,0439530182,0,1:44:26
610,0438858854,0,1:44:27
611,0819701252,0,1:44:29
612,0430717574,0,1:44:32
613,0431124454,0,1:44:34
614,0431415750,0,1:44:36
615,0819632900,0,1:44:37
616,0431864198,0,1:44:39
617,0431374182,0,1:44:42
618,0430961254,0,1:44:46
619,0431187814,0,1:44:47
620,0431808166,0,1:44:50
621,0439059158,0,1:44:52
622,0430681094,0,1:44:54
623,0431725702,0,1:44:56
624,0819708676,0,1:44:58
625,0819406820,0,1:45:0
626,0441791030,0,1:45:1
627,0442559158,0,1:45:3
628,0818774884,0,1:45:5
629,0819005508,0,1:45:7
630,0439891846,0,1:45:9
631,0431047126,0,1:45:12
632,0431630966,0,1:45:14
633,0439535686,0,1:45:16
634,0430679382,0,1:45:18
635,0819530516,0,1:45:19
636,0430771046,0,1:45:21
637,0431886054,0,1:45:23
638,0431047494,0,1:45:25
639,0431794294,0,1:45:27
640,0431073414,0,1:45:30
641,0819734564,0,1:45:32
642,0819696212,0,1:45:37
643,0818970292,0,1:45:39
644,0431948822,0,1:45:41
645,0431027990,0,1:45:43
646,0431226262,0,1:45:45
647,0431543798,0,1:45:47
648,0431613926,0,1:45:49
649,0430794326,0,1:45:51
650,0431725510,0,1:45:53
651,0819161492,0,1:45:55
652,0819457764,0,1:45:58
653,0818730276,0,1:46:0
654,0431714966,0,1:46:2
655,0819068132,0,1:46:4
656,0431465366,0,1:46:6
657,0431302246,0,1:46:8
658,0431948406,0,1:46:11
659,0438951462,0,1:46:14
660,0431717574,0,1:46:16
661,0431835190,0,1:46:18
662,0431767894,0,1:46:21
663,0819411620,0,1:46:23
664,0819320404,0,1:46:25
665,0818688564,0,1:46:27
666,0430687430,0,1:46:29
667,0819738692,0,1:46:31
668,0818787460,0,1:46:33
669,0818918772,0,1:46:34
670,0819772708,0,1:46:37
671,0819050260,0,1:46:39
672,0819384500,0,1:46:41
673,0819520164,0,1:46:43
674,0431016598,0,1:46:45
675,0819176132,0,1:46:47
676,0431070214,0,1:46:49
677,0431656470,0,1:46:52
678,0439731846,0,1:46:55
679,0819560740,0,1:46:57
680,0819252980,0,1:47:0
681,0430778614,0,1:47:2
682,0819755236,0,1:47:4
683,0431252534,0,1:47:6
684,0442122134,0,1:47:8
685,0818676852,0,1:47:10
686,0442654550,0,1:47:12
687,0818666548,0,1:47:14
688,0442734950,0,1:47:16
689,0819894740,0,1:47:17
690,0442586822,0,1:47:19
691,0442707158,0,1:47:21
692,0441634086,0,1:47:23
693,0441468790,0,1:47:25
694,0819792420,0,1:47:27
695,0441675222,0,1:47:29
696,0431463174,0,1:47:31
697,0431887382,0,1:47:34
698,0441944182,0,1:47:36
699,0819465572,0,1:47:37
700,0442670246,0,1:47:39
701,0441492742,0,1:48:0
702,0442612550,0,1:48:3
703,0819780548,0,1:48:6
704,0442108822,0,1:48:8
705,0441960614,0,1:48:13
706,0441971926,0,1:48:15
707,0818854420,0,1:48:16
708,0441890262,0,1:48:18
709,0431361382,0,1:48:20
710,0442502214,0,1:48:22
711,0442233798,0,1:48:24
712,0441731558,0,1:48:26
713,0442218166,0,1:48:28
714,0819844340,0,1:48:30
715,0442275398,0,1:48:33
716,0442111942,0,1:48:35
717,0442719318,0,1:48:37
718,0442746134,0,1:48:39
719,0441581478,0,1:48:41
720,0819476644,0,1:48:43
721,0442775046,0,1:48:44
722,0442012470,0,1:48:47
723,0442272086,0,1:48:49
724,0441698582,0,1:48:51
725,0442746486,0,1:48:53
726,0441954502,0,1:48:55
727,0441723702,0,1:48:57
728,0442570870,0,1:48:58
729,0442460902,0,1:49:0
730,0819429236,0,1:49:2
731,0818839172,0,1:49:4
732,0819436740,0,1:49:6
733,0431553558,0,1:49:7
734,0438970902,0,1:49:9
735,0431973510,0,1:49:11
736,0441868614,0,1:49:13
